Temporada, Esport, Categoria, Grup, Jornada, Data, Local, Visitant, Camp de joc, Hora
2019/2020, Handbol, Alevi Femeni, 1a Fase, 1, 19/10/19, CH CARDEDEU VERMELL, DESCANSA, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 1, 19/10/19, CH CARDEDEU BLANC, CH PALAUTORDERA VERD, CARDEDEU-Pavello Mcpal, 09:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 1, 19/10/19, LA SALLE M B , HC LAIETA ARG, MONTCADA - Pav. La Salle Montcada, 09:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 1, 19/10/19, CH CANOVELLES, LA SALLE M A , CANOVELLES-Pav Mcpal La Tona, 11:45
2019/2020, Handbol, Alevi Femeni, 1a Fase, 1, 19/10/19, CH PALAUTORDERA BLANC, PME-AEH LES FRANQUESES NEGRE, SM PALAU -Pista Esp. Joan Cañellas, 12:10
2019/2020, Handbol, Alevi Femeni, 1a Fase, 2, 26/10/19, DESCANSA, LA SALLE M B , A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 2, 26/10/19, PME-AEH LES FRANQUESES NEGRE, CH CARDEDEU VERMELL, CORRO AVALL-Pavello, 09:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 2, 26/10/19, HC LAIETA ARG, CH CARDEDEU BLANC, ARGENTONA-Polisp Mcpal, 12:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 2, 26/10/19, LA SALLE M A , CH PALAUTORDERA BLANC, MONTCADA - Pav. La Salle Montcada, 12:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 2, 27/10/19, CH PALAUTORDERA VERD, CH CANOVELLES, SM PALAU-Pavello, 10:30
2019/2020, Handbol, Alevi Femeni, 1a Fase, 3, 09/11/19, CH CARDEDEU BLANC, DESCANSA, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 3, 09/11/19, CH PALAUTORDERA VERD, HC LAIETA ARG, SM PALAU-Pavello, 09:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 3, 09/11/19, LA SALLE M B , PME-AEH LES FRANQUESES NEGRE, MONTCADA - Pav. La Salle Montcada, 12:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 3, 09/11/19, CH CANOVELLES, CH PALAUTORDERA BLANC, CANOVELLES-Pav Mcpal La Tona, 12:30
