Temporada, Esport, Categoria, Grup, Jornada, Data, Local, Visitant, Camp de joc, Hora
2019/2020, Handbol, Benjami Femeni, 1a fase, 1, 19/10/19, CH CARDEDEU BLANC, LA SALLE M , CARDEDEU-Pavello Mcpal, 10:15
2019/2020, Handbol, Benjami Femeni, 1a fase, 1, 19/10/19, CH CARDEDEU VERMELL, HB VILAMAJOR, CARDEDEU-Pavello Mcpal, 11:30
2019/2020, Handbol, Benjami Femeni, 1a fase, 1, 19/10/19, HB MONTORNES, FBMG KH-7 MIRIAM GONZALEZ, MONTORNES C/ Sorralet dels Catanyers s/n, 12:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 1, 19/10/19, CH SANT ESTEVE FM, PME-AEH LES FRANQUESES, CORRO AVALL-Pavello, 16:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 2, 26/10/19, CH SANT ESTEVE FM, CH CARDEDEU VERMELL, SE PALAU-Pav Quatre Hereus, 09:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 2, 26/10/19, LA SALLE M , HB MONTORNES, MONTCADA - Pav. La Salle Montcada, 11:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 2, 26/10/19, HB VILAMAJOR, CH CARDEDEU BLANC, SA VILAMAJOR-Pavelló Joan Sape, 12:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 2, 26/10/19, FBMG KH-7 MIRIAM GONZALEZ, PME-AEH LES FRANQUESES, GRANOLLERS-Annexe Palau, 12:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 3, 09/11/19, CH CARDEDEU BLANC, CH SANT ESTEVE FM, CARDEDEU-Pavello Mcpal, 09:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 3, 09/11/19, CH CARDEDEU VERMELL, FBMG KH-7 MIRIAM GONZALEZ, CARDEDEU-Pavello Mcpal, 10:15
2019/2020, Handbol, Benjami Femeni, 1a fase, 3, 09/11/19, LA SALLE M , HB VILAMAJOR, MONTCADA - Pav. La Salle Montcada, 11:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 3, 09/11/19, HB MONTORNES, PME-AEH LES FRANQUESES, MONTORNES C/ Sorralet dels Catanyers s/n, 11:30
2019/2020, Handbol, Benjami Femeni, 1a fase, 4, 16/11/19, CH SANT ESTEVE FM, LA SALLE M , A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 4, 16/11/19, HB VILAMAJOR, HB MONTORNES, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 4, 16/11/19, PME-AEH LES FRANQUESES, CH CARDEDEU VERMELL, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 4, 16/11/19, FBMG KH-7 MIRIAM GONZALEZ, CH CARDEDEU BLANC, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 5, 23/11/19, CH CARDEDEU BLANC, PME-AEH LES FRANQUESES, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 5, 23/11/19, LA SALLE M , FBMG KH-7 MIRIAM GONZALEZ, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 5, 23/11/19, HB VILAMAJOR, CH SANT ESTEVE FM, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 5, 23/11/19, HB MONTORNES, CH CARDEDEU VERMELL, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 6, 30/11/19, HB MONTORNES, CH SANT ESTEVE FM, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 6, 30/11/19, CH CARDEDEU VERMELL, CH CARDEDEU BLANC, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 6, 30/11/19, PME-AEH LES FRANQUESES, LA SALLE M , A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 6, 30/11/19, FBMG KH-7 MIRIAM GONZALEZ, HB VILAMAJOR, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 7, 14/12/19, CH CARDEDEU BLANC, HB MONTORNES, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 7, 14/12/19, LA SALLE M , CH CARDEDEU VERMELL, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 7, 14/12/19, HB VILAMAJOR, PME-AEH LES FRANQUESES, A DESIGNAR, 00:00
2019/2020, Handbol, Benjami Femeni, 1a fase, 7, 14/12/19, CH SANT ESTEVE FM, FBMG KH-7 MIRIAM GONZALEZ, A DESIGNAR, 00:00
